Ethnicity,Age,Gender,SocioeconomicStatus,DisabilityStatus,Outcome
White,26,Male,Low,No,1
Asian,24,Female,Medium,Yes,1
White,58,Male,Medium,No,0
Asian,37,Male,Low,Yes,1
Asian,27,Male,Medium,No,0
White,43,Female,Low,No,1
White,21,Female,Low,No,0
Black,55,Female,Medium,No,1
Black,41,Male,Medium,No,0
Asian,31,Male,High,No,1
White,58,Female,High,No,0
White,18,Female,High,Yes,1
White,34,Male,High,Yes,0
White,62,Male,High,Yes,0
White,41,Female,Medium,No,1
Asian,44,Male,Medium,No,1
White,24,Female,Medium,No,0
Asian,26,Female,High,No,1
Black,60,Female,High,No,0
White,52,Female,Medium,No,1
Black,29,Male,Medium,No,0
White,38,Female,Medium,No,0
Black,20,Female,Medium,No,1
White,32,Male,Low,Yes,0
White,38,Female,Medium,Yes,1
Asian,27,Male,Medium,Yes,0
White,50,Female,Low,No,0
Black,63,Male,Low,Yes,1
White,69,Female,Medium,Yes,1
White,23,Male,Medium,No,1
White,19,Male,High,Yes,0
White,46,Female,Medium,Yes,0
White,57,Female,Low,No,0
Asian,50,Male,Medium,Yes,0
Asian,21,Male,Low,No,1
Black,21,Male,Medium,No,1
Mixed,46,Female,Low,No,1
White,54,Female,Medium,No,1
Asian,37,Female,High,No,0
White,58,Female,Medium,No,1
Asian,40,Female,High,No,0
White,62,Male,High,No,1
Mixed,35,Male,Low,No,0
Asian,66,Female,High,No,0
Mixed,42,Female,Low,No,0
Black,18,Female,High,No,0
Black,32,Female,High,No,0
Black,51,Female,Low,No,0
White,65,Female,Medium,No,0
White,37,Male,Medium,No,1
White,54,Male,Medium,No,0
White,44,Female,Medium,No,1
White,39,Female,Low,No,0
White,68,Male,Medium,No,1
White,22,Male,Medium,No,1
Mixed,51,Male,Low,Yes,0
Black,56,Male,High,No,1
White,20,Female,Medium,No,0
White,34,Male,Low,Yes,1
White,41,Female,Medium,No,1
White,41,Male,Low,No,0
Asian,20,Female,Medium,Yes,0
White,62,Male,Low,No,0
White,24,Female,Low,No,0
Black,42,Female,High,Yes,1
Black,20,Female,High,No,0
White,32,Male,Medium,No,0
Asian,46,Male,Low,No,0
White,67,Male,High,Yes,0
White,46,Male,High,No,0
White,27,Female,Medium,No,1
White,49,Female,Low,No,0
White,40,Female,Medium,Yes,1
White,56,Female,Medium,No,0
Asian,26,Male,High,No,0
Asian,54,Male,Medium,No,1
White,69,Male,High,No,0
White,57,Female,High,No,0
Black,31,Female,Low,No,0
White,21,Male,Low,No,0
Black,37,Male,High,No,0
Asian,45,Female,High,No,1
White,31,Female,Medium,No,1
White,61,Female,Medium,No,0
White,51,Male,High,No,0
White,30,Male,Medium,No,0
White,48,Female,High,No,0
Asian,50,Female,Low,No,1
White,69,Male,Low,No,1
White,56,Female,Medium,No,1
White,45,Female,Medium,No,0
White,42,Male,Low,No,0
White,49,Male,Low,No,1
White,26,Male,High,Yes,0
White,45,Male,High,No,1
Asian,48,Female,Medium,No,1
White,34,Male,High,Yes,1
Asian,40,Female,Medium,No,0
White,30,Female,Medium,No,0
White,27,Male,Medium,No,1
White,33,Male,Medium,No,1
Asian,23,Female,Medium,Yes,1
White,65,Female,Low,No,0
White,28,Female,High,Yes,1
White,69,Male,Medium,No,1
White,20,Male,High,No,0
White,45,Female,High,No,1
Asian,58,Female,Medium,No,1
White,32,Male,High,No,0
Asian,30,Female,High,No,0
White,59,Male,High,No,1
Asian,69,Female,Medium,Yes,0
Asian,62,Female,Low,No,1
White,34,Male,High,No,0
Asian,24,Female,Medium,Yes,0
Black,45,Male,High,No,1
White,55,Male,Medium,No,1
White,30,Male,Medium,No,0
Asian,34,Male,Medium,No,1
White,32,Male,Low,No,0
White,53,Female,Low,No,0
Black,45,Female,High,Yes,0
White,32,Male,Low,No,0
Asian,63,Female,High,No,1
Asian,28,Female,Low,No,1
Mixed,48,Female,High,No,0
White,21,Female,Medium,No,1
White,52,Male,High,No,0
White,51,Male,High,No,1
White,69,Female,Low,No,1
White,44,Male,Low,No,1
White,27,Male,Medium,No,1
White,47,Male,Low,Yes,1
White,62,Male,Low,Yes,0
Asian,37,Male,High,No,1
Asian,46,Male,High,No,1
Asian,46,Male,High,No,1
Black,40,Female,Medium,Yes,1
White,67,Female,High,No,1
Mixed,38,Male,High,No,1
Black,65,Male,High,No,0
White,60,Male,High,No,1
White,27,Male,Low,No,0
White,58,Male,High,Yes,0
White,29,Male,Medium,Yes,0
White,47,Female,Medium,Yes,1
White,68,Female,Medium,No,0
Asian,50,Male,High,Yes,0
White,35,Male,Medium,No,0
White,31,Female,High,No,0
Black,39,Female,Medium,No,0
White,38,Female,High,No,0
Mixed,18,Female,Medium,Yes,0
White,66,Male,Medium,No,1
Mixed,60,Male,Medium,No,0
White,69,Female,Medium,Yes,0
White,32,Male,Medium,No,1
White,53,Female,Low,No,0
Asian,64,Female,High,No,1
Black,39,Female,Low,No,1
White,49,Male,Low,No,0
Black,63,Female,Medium,No,0
White,50,Male,High,Yes,1
Asian,58,Male,Medium,No,0
Black,56,Male,High,Yes,0
White,40,Female,High,No,0
White,60,Female,High,No,1
Black,19,Male,High,No,1
Black,19,Male,Medium,No,0
Mixed,55,Female,Low,No,0
Black,68,Female,High,No,0
White,46,Female,Low,No,1
Black,69,Female,Low,No,0
White,63,Male,Low,No,1
Mixed,20,Female,Low,No,1
White,56,Male,Medium,Yes,0
White,24,Female,High,No,0
White,53,Female,Medium,No,0
White,46,Male,Medium,Yes,0
White,54,Male,Low,Yes,0
Black,66,Female,Low,Yes,0
Black,53,Male,Medium,No,1
White,40,Male,Medium,No,0
Asian,62,Female,High,No,1
Asian,33,Male,High,No,1
White,65,Female,Medium,No,1
White,48,Male,Medium,No,0
Black,51,Female,Low,No,0
Asian,67,Male,Medium,No,0
White,18,Male,Low,No,0
Asian,35,Female,Medium,No,1
White,57,Female,Low,No,1
White,60,Male,High,No,0
White,32,Male,Low,Yes,0
White,65,Female,Medium,Yes,1
Asian,66,Female,High,No,1
Black,34,Female,High,No,0
White,61,Female,Low,No,0
White,27,Female,High,No,1
Asian,37,Male,Medium,Yes,1
Black,23,Male,Medium,Yes,1
Asian,25,Female,Medium,Yes,0
Black,62,Male,Low,No,0
White,51,Male,Medium,No,0
Asian,49,Male,Medium,No,1
White,68,Male,Low,No,1
White,59,Male,Low,No,1
White,21,Male,Low,No,1
White,61,Female,Medium,No,0
Black,67,Male,High,No,0
Black,56,Male,Medium,No,0
White,37,Male,Low,Yes,0
White,41,Female,High,Yes,1
White,41,Male,High,Yes,1
White,43,Female,High,Yes,0
Asian,42,Female,Medium,No,1
Black,53,Male,Low,No,1
Mixed,24,Male,High,No,0
Asian,27,Male,Medium,No,0
Black,64,Female,Low,No,1
White,29,Female,High,No,0
White,18,Female,Medium,No,1
White,69,Male,Low,No,0
White,67,Female,Low,Yes,0
Asian,42,Male,High,No,1
White,33,Male,High,No,1
White,22,Female,High,No,0
White,36,Female,Low,No,1
Mixed,21,Male,Low,No,0
White,23,Male,Medium,Yes,0
Asian,43,Male,Medium,Yes,1
Asian,66,Male,High,No,0
White,56,Male,Medium,No,1
White,56,Female,Medium,No,0
Black,26,Female,Low,Yes,0
White,62,Female,Medium,No,1
Black,69,Female,Medium,No,1
White,31,Female,High,No,1
White,65,Female,High,No,1
Black,26,Female,High,No,0
Black,32,Male,High,No,1
Mixed,54,Female,Medium,No,0
Asian,67,Female,High,Yes,1
Black,37,Female,High,Yes,1
Black,25,Female,Low,No,0
Black,49,Male,Medium,No,1
White,64,Female,Medium,No,1
White,38,Male,Low,No,0
Black,58,Female,Medium,No,0
White,36,Male,Low,No,0
White,46,Male,High,No,0
White,48,Male,Low,Yes,1
White,23,Female,Low,No,0
White,21,Male,Low,No,0
White,60,Female,High,No,0
Black,46,Male,Medium,No,1
White,59,Female,High,Yes,0
White,20,Female,Medium,No,1
White,18,Male,Low,Yes,0
White,61,Male,Medium,No,0
White,32,Female,Medium,Yes,0
Asian,64,Female,Medium,No,1
White,38,Female,Medium,No,0
Black,63,Male,Low,No,1
White,48,Male,Low,No,1
White,24,Female,High,No,1
White,34,Male,Medium,No,1
White,36,Male,High,No,0
Asian,56,Male,Medium,No,1
Black,20,Female,Low,No,0
Asian,47,Female,Low,Yes,1
White,52,Male,Medium,No,1
White,46,Male,High,No,1
White,67,Male,High,No,1
Mixed,69,Male,Medium,No,0
White,31,Male,High,Yes,1
Asian,52,Female,Medium,No,1
White,45,Male,High,Yes,1
White,47,Male,Medium,No,0
White,43,Female,High,No,1
White,24,Male,Low,No,1
Asian,56,Female,Low,Yes,0
White,48,Male,Medium,No,1
Asian,22,Male,High,No,0
White,52,Female,Medium,Yes,1
Mixed,67,Female,High,No,0
White,64,Male,Medium,Yes,0
Black,69,Female,Low,Yes,0
Black,31,Female,Medium,No,0
Mixed,53,Male,Medium,No,0
White,44,Female,Medium,Yes,1
Asian,41,Female,Low,Yes,1
White,57,Male,Low,No,1
White,46,Female,Medium,No,0
White,62,Female,Medium,No,1
White,39,Female,Medium,No,1
Mixed,25,Male,High,No,0
White,32,Male,Medium,No,0
White,66,Female,Medium,No,0
Asian,22,Male,High,No,1
White,69,Male,High,Yes,0
Asian,21,Male,Medium,Yes,0
White,28,Male,Low,No,1
White,35,Female,Medium,Yes,1
White,59,Male,Medium,Yes,1
Black,66,Female,Medium,Yes,0
Asian,47,Male,Medium,No,0
Mixed,32,Female,Medium,No,1
White,23,Male,Medium,No,0
White,33,Female,High,No,1
White,64,Female,Medium,No,1
White,57,Male,High,No,0
White,26,Female,Medium,No,1
Asian,60,Male,Low,Yes,0
White,51,Female,High,Yes,0
White,44,Female,Medium,Yes,1
Black,30,Female,Medium,Yes,0
Asian,53,Female,Low,No,1
White,44,Male,Medium,No,1
White,26,Male,Low,No,1
White,22,Male,Low,No,0
White,68,Female,Medium,No,0
Asian,39,Female,Medium,No,0
White,48,Male,Medium,No,0
Black,20,Female,Low,No,0
Asian,47,Male,High,Yes,0
Asian,38,Male,Medium,Yes,0
White,52,Female,Medium,No,0
White,23,Male,Medium,No,1
Asian,45,Female,Medium,Yes,1
White,49,Male,Medium,Yes,0
White,59,Female,High,No,1
White,54,Male,Medium,Yes,0
White,42,Male,Medium,No,1
Asian,49,Female,Low,Yes,0
White,52,Female,High,No,0
White,39,Male,Low,No,1
White,41,Male,Medium,No,1
White,56,Female,High,Yes,0
Black,47,Male,Low,No,1
Black,67,Female,High,No,1
White,49,Female,Low,No,1
White,48,Male,Low,No,0
White,40,Male,High,No,0
Asian,57,Female,High,No,1
White,50,Male,Medium,No,0
Asian,42,Female,Medium,No,0
White,53,Male,Medium,No,0
Asian,41,Female,Medium,Yes,1
White,48,Male,Medium,No,0
Asian,56,Female,High,No,1
White,63,Male,Low,No,0
Asian,30,Male,Low,No,0
White,27,Female,Medium,No,0
White,40,Male,Low,No,0
Asian,35,Male,High,No,1
White,49,Male,High,No,1
Asian,50,Male,Medium,No,0
Asian,53,Female,Medium,No,0
White,45,Female,Medium,No,1
White,33,Male,Low,No,1
White,33,Female,Low,No,1
White,35,Female,Medium,No,1
White,25,Female,Low,Yes,0
Asian,59,Male,High,No,1
White,33,Female,High,No,0
White,28,Female,Low,No,0
White,23,Male,Medium,Yes,1
White,18,Male,Medium,No,1
White,29,Male,Medium,No,1
Asian,55,Female,Medium,No,0
Asian,45,Male,High,No,0
White,62,Female,Medium,No,0
Mixed,34,Male,High,No,1
White,18,Female,High,Yes,0
Black,49,Female,Medium,No,0
Asian,25,Female,High,Yes,0
Asian,57,Female,Low,No,1
White,60,Female,High,No,1
White,63,Male,High,No,0
White,41,Female,Medium,No,0
Asian,27,Male,Medium,Yes,1
White,64,Female,High,No,1
Asian,56,Male,High,Yes,1
White,56,Female,Low,Yes,1
Black,27,Female,Medium,No,0
White,53,Male,Medium,Yes,1
White,42,Male,Medium,No,0
White,67,Female,High,No,1
White,27,Male,Medium,Yes,0
White,36,Male,Medium,Yes,1
Asian,63,Male,Low,No,0
White,62,Female,High,No,0
White,32,Female,Low,No,0
Black,33,Female,High,No,0
White,19,Female,High,No,1
Black,46,Male,High,No,1
Mixed,21,Female,High,No,0
White,67,Male,Low,No,1
White,46,Male,Medium,No,1
White,48,Male,High,No,0
Asian,34,Female,Low,No,0
White,27,Female,Low,No,0
Asian,44,Male,Low,Yes,0
Asian,58,Female,Low,No,0
White,32,Male,High,No,1
Black,61,Male,Low,No,0
Asian,48,Male,Medium,Yes,1
White,38,Female,Low,No,1
Black,58,Female,Low,No,0
Asian,63,Male,Medium,No,1
White,62,Female,Low,Yes,0
White,43,Male,High,No,1
White,55,Female,Medium,Yes,0
White,68,Female,High,No,1
Mixed,53,Male,Low,No,1
White,69,Female,High,Yes,1
Asian,34,Female,Medium,No,1
White,68,Male,Medium,No,0
White,20,Female,Low,No,0
Black,31,Male,Medium,No,1
Black,66,Male,Low,No,0
White,30,Male,Low,No,1
White,58,Male,Medium,No,0
White,44,Female,Medium,No,1
White,18,Female,Low,No,0
White,34,Female,Low,Yes,1
White,65,Male,Low,No,1
Mixed,67,Male,High,No,0
White,51,Male,Low,No,0
Black,31,Female,Medium,No,0
Asian,34,Female,Medium,No,0
White,20,Female,Low,No,0
Black,51,Male,High,No,0
White,57,Female,Low,No,1
Black,42,Female,Medium,Yes,0
White,19,Male,Low,No,1
White,51,Female,High,No,1
Black,43,Male,Medium,No,0
White,48,Male,Low,No,0
Black,26,Male,High,Yes,1
Black,47,Male,High,Yes,0
White,37,Male,Low,No,1
White,38,Male,High,No,1
White,46,Male,Low,No,0
Asian,42,Female,High,No,1
Asian,55,Female,Medium,No,0
White,61,Female,Low,Yes,0
White,42,Male,Medium,No,1
Asian,26,Male,Medium,No,1
White,56,Male,Medium,No,1
Black,61,Male,Low,No,1
Asian,43,Female,High,No,1
Black,54,Female,Medium,No,0
White,33,Female,High,No,0
White,54,Female,Medium,No,1
White,29,Male,High,Yes,1
White,41,Male,Medium,No,0
Mixed,43,Female,Medium,No,0
White,37,Male,High,No,0
Asian,26,Male,High,No,1
White,40,Male,Medium,No,1
White,56,Male,Medium,No,1
White,46,Male,Low,No,0
Asian,48,Female,Medium,Yes,1
White,36,Female,High,No,0
White,37,Male,Medium,Yes,1
Black,40,Male,High,No,1
White,60,Female,Low,Yes,1
White,44,Male,Low,No,1
White,47,Male,Medium,Yes,1
White,38,Male,Medium,No,0
Black,61,Male,High,No,0
White,52,Female,Medium,No,1
White,66,Female,Low,No,0
White,24,Male,High,No,0
Asian,39,Male,High,No,1
White,27,Male,Medium,Yes,0
Asian,40,Male,Low,No,0
White,32,Female,Medium,No,1
White,47,Female,Low,No,0
Black,51,Female,High,No,0
White,30,Female,Medium,No,0
Black,21,Female,Low,No,0
White,35,Female,High,No,1
Black,40,Male,Medium,No,1
White,50,Male,High,Yes,0
Asian,51,Female,High,No,1
White,51,Male,High,Yes,1
White,53,Female,Low,No,1
White,52,Female,Medium,No,1
White,34,Female,Low,No,0
White,45,Male,Medium,No,0
White,31,Female,Medium,No,0
White,51,Male,Medium,No,0
Asian,65,Female,Low,No,1
Asian,28,Male,Low,Yes,1
